schema_path,max_length,hidden_size,epoch,batch_size,epoch_data_size,positive_sample_rate,optimizer,learning_rate,loss_type,bert,vocab_size,model_type,acc
../data/schema.json,45,512,20,2,400,0.5,adam,0.0001,triple_loss,FALSE,4622,layer,0.926724138
../data/schema.json,45,128,20,8,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.926724138
../data/schema.json,45,512,20,128,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.926724138
../data/schema.json,45,512,20,32,400,0.5,adam,0.0001,triple_loss,FALSE,4622,layer,0.926724138
../data/schema.json,45,256,20,16,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.924568966
../data/schema.json,45,256,20,128,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.924568966
../data/schema.json,45,512,20,16,400,0.5,adam,0.0001,triple_loss,FALSE,4622,layer,0.924568966
../data/schema.json,45,64,20,16,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.924568966
../data/schema.json,45,512,20,16,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.924568966
../data/schema.json,45,512,20,8,400,0.5,adam,0.0001,triple_loss,FALSE,4622,layer,0.924568966
../data/schema.json,45,128,20,4,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.922413793
../data/schema.json,45,256,20,16,400,0.5,adam,0.0001,triple_loss,FALSE,4622,layer,0.922413793
../data/schema.json,45,512,20,128,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.920258621
../data/schema.json,45,512,20,32,400,0.5,adam,0.0001,triple_loss,FALSE,4622,layer,0.920258621
../data/schema.json,45,128,20,4,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.920258621
../data/schema.json,45,512,20,2,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.918103448
../data/schema.json,45,64,20,4,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.918103448
../data/schema.json,45,128,20,16,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.918103448
../data/schema.json,45,128,20,32,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.918103448
../data/schema.json,45,256,20,4,400,0.5,adam,0.0001,triple_loss,FALSE,4622,layer,0.918103448
../data/schema.json,45,512,20,16,400,0.5,adam,0.0001,triple_loss,FALSE,4622,layer,0.918103448
../data/schema.json,45,128,20,16,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.915948276
../data/schema.json,45,256,20,8,400,0.5,adam,0.0001,triple_loss,FALSE,4622,layer,0.915948276
../data/schema.json,45,64,20,4,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.913793103
../data/schema.json,45,512,20,32,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.913793103
../data/schema.json,45,256,20,16,400,0.5,adam,0.0001,triple_loss,FALSE,4622,layer,0.913793103
../data/schema.json,45,64,20,8,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.911637931
../data/schema.json,45,128,20,8,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.911637931
../data/schema.json,45,128,20,2,400,0.5,adam,0.0001,triple_loss,FALSE,4622,layer,0.911637931
../data/schema.json,45,512,20,64,400,0.5,adam,0.0001,triple_loss,FALSE,4622,layer,0.911637931
../data/schema.json,45,256,20,8,400,0.5,adam,0.0001,triple_loss,FALSE,4622,layer,0.909482759
../data/schema.json,45,128,20,64,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.909482759
../data/schema.json,45,256,20,128,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.909482759
../data/schema.json,45,256,20,2,400,0.5,adam,0.0001,triple_loss,FALSE,4622,layer,0.909482759
../data/schema.json,45,256,20,4,400,0.5,adam,0.0001,triple_loss,FALSE,4622,layer,0.907327586
../data/schema.json,45,256,20,4,400,0.5,adam,1.00E-05,triple_loss,FALSE,4622,layer,0.905172414
