mode_type,max_length,hidden_size,kernel_size,num_layers,epoch,batch_size,pooling_style,optimizer,learning_rate,class_num,acc
gated_cnn,30,64,3,2,15,128,avg,adam,1e-05,2,0.46875
gated_cnn,30,64,3,2,15,128,max,adam,1e-05,2,0.5729166666666666
gated_cnn,30,64,3,2,15,256,avg,adam,1e-05,2,0.41041666666666665
gated_cnn,30,64,3,2,15,256,max,adam,1e-05,2,0.4895833333333333
gated_cnn,30,128,3,2,15,64,avg,adam,1e-05,2,0.6708333333333333
gated_cnn,30,128,3,2,15,64,max,adam,1e-05,2,0.7583333333333333
gated_cnn,30,128,3,2,15,128,avg,adam,1e-05,2,0.6020833333333333
gated_cnn,30,128,3,2,15,128,max,adam,1e-05,2,0.7125
gated_cnn,30,128,3,2,15,256,avg,adam,1e-05,2,0.45208333333333334
gated_cnn,30,128,3,2,15,256,max,adam,1e-05,2,0.6375
gated_cnn,30,256,3,2,15,64,avg,adam,1e-05,2,0.7520833333333333
gated_cnn,30,256,3,2,15,64,max,adam,1e-05,2,0.8083333333333333
gated_cnn,30,256,3,2,15,128,avg,adam,1e-05,2,0.7125
gated_cnn,30,256,3,2,15,128,max,adam,1e-05,2,0.7958333333333333
gated_cnn,30,256,3,2,15,256,avg,adam,1e-05,2,0.6145833333333334
gated_cnn,30,256,3,2,15,256,max,adam,1e-05,2,0.7520833333333333
gated_cnn,30,512,3,2,15,64,avg,adam,1e-05,2,0.7958333333333333
gated_cnn,30,512,3,2,15,64,max,adam,1e-05,2,0.8354166666666667
gated_cnn,30,512,3,2,15,128,avg,adam,1e-05,2,0.7645833333333333
gated_cnn,30,512,3,2,15,128,max,adam,1e-05,2,0.8333333333333334
gated_cnn,30,512,3,2,15,256,avg,adam,1e-05,2,0.7208333333333333
gated_cnn,30,512,3,2,15,256,max,adam,1e-05,2,0.8041666666666667
cnn,30,64,3,2,15,64,avg,adam,0.001,2,0.8
cnn,30,64,3,2,15,64,max,adam,0.001,2,0.8270833333333333
cnn,30,64,3,2,15,128,avg,adam,0.001,2,0.8104166666666667
cnn,30,64,3,2,15,128,max,adam,0.001,2,0.8270833333333333
cnn,30,64,3,2,15,256,avg,adam,0.001,2,0.8166666666666667
cnn,30,64,3,2,15,256,max,adam,0.001,2,0.8041666666666667
cnn,30,128,3,2,15,64,avg,adam,0.001,2,0.8041666666666667
cnn,30,128,3,2,15,64,max,adam,0.001,2,0.8020833333333334
cnn,30,128,3,2,15,128,avg,adam,0.001,2,0.8
cnn,30,128,3,2,15,128,max,adam,0.001,2,0.825
cnn,30,128,3,2,15,256,avg,adam,0.001,2,0.8166666666666667
cnn,30,128,3,2,15,256,max,adam,0.001,2,0.8375
cnn,30,256,3,2,15,64,avg,adam,0.001,2,0.80625
cnn,30,256,3,2,15,64,max,adam,0.001,2,0.8375
cnn,30,256,3,2,15,128,avg,adam,0.001,2,0.8020833333333334
cnn,30,256,3,2,15,128,max,adam,0.001,2,0.8291666666666667
cnn,30,256,3,2,15,256,avg,adam,0.001,2,0.8208333333333333
