model,lr,hidden_size,batch_size,pooling_style,num_layers,acc,time
fast_text,0.0001,64,64,avg,3,0.7360300250208507,18.89718206305253
fast_text,0.0001,64,64,avg,4,0.7452043369474562,18.678213420667145
fast_text,0.0001,64,64,max,1,0.7652210175145955,21.27446626362048
fast_text,0.0001,64,64,max,2,0.713094245204337,14.767521306088096
fast_text,0.0001,64,64,max,3,0.7698081734778982,5.025612680535567
fast_text,0.0001,64,64,max,4,0.7414512093411176,2.632015629818565
fast_text,0.0001,64,128,avg,1,0.7518765638031694,5.3430858411287
fast_text,0.0001,64,128,avg,2,0.6776480400333611,13.752987510279604
fast_text,0.0001,64,128,avg,3,0.7268557130942452,15.833503321597451
fast_text,0.0001,64,128,avg,4,0.7122602168473728,16.43582394248561
fast_text,0.0001,64,128,max,1,0.6701417848206839,10.597078423751029
fast_text,0.0001,64,128,max,2,0.6755629691409508,26.47073645340769
fast_text,0.0001,64,128,max,3,0.7064220183486238,21.699855202122738
fast_text,0.0001,64,128,max,4,0.7197664720600501,19.60553620990954
fast_text,0.0001,128,64,avg,1,0.8148457047539617,14.913709540116159
fast_text,0.0001,128,64,avg,2,0.8135946622185154,6.870846999318976
fast_text,0.0001,128,64,avg,3,0.8094245204336947,14.087400938335218
fast_text,0.0001,128,64,avg,4,0.8035863219349458,23.911501231946442
fast_text,0.0001,128,64,max,1,0.7781484570475397,22.01481869346217
fast_text,0.0001,128,64,max,2,0.7802335279399499,19.33198226125617
fast_text,0.0001,128,64,max,3,0.7485404503753128,13.14627496819747
fast_text,0.0001,128,64,max,4,0.7568807339449541,13.822003414756374
fast_text,0.0001,128,128,avg,1,0.7477064220183486,10.554414046438117
fast_text,0.0001,128,128,avg,2,0.7581317764804003,15.819700140702096
fast_text,0.0001,128,128,avg,3,0.7239366138448707,15.773271259508634
fast_text,0.0001,128,128,avg,4,0.7602168473728107,13.65762007863898
fast_text,0.0001,128,128,max,1,0.7535446205170976,18.3205855520148
fast_text,0.0001,128,128,max,2,0.7510425354462051,10.574491400467721
fast_text,0.0001,128,128,max,3,0.7606338615512928,10.550649542557565
fast_text,0.0001,128,128,max,4,0.683069224353628,5.26277642501028
lstm,0.001,64,64,avg,1,0.8794829024186822,96.09649055882504
lstm,0.001,64,64,avg,2,0.8803169307756463,215.55423736572266
lstm,0.001,64,64,avg,3,0.8653044203502919,319.7230790790759
lstm,0.001,64,64,avg,4,0.872393661384487,394.41773765965513
lstm,0.001,64,64,max,1,0.8815679733110926,113.43767768458316
lstm,0.001,64,64,max,2,0.8844870725604671,203.44508321661698
lstm,0.001,64,64,max,3,0.8665554628857381,305.1745264153731
lstm,0.001,64,64,max,4,0.8657214345287739,398.8974972775108
lstm,0.001,64,128,avg,1,0.8698915763135947,209.16712911505448
lstm,0.001,64,128,avg,2,0.8694745621351125,451.4342860171669
lstm,0.001,64,128,avg,3,0.8648874061718098,514.7105769107217
lstm,0.001,64,128,avg,4,0.8698915763135947,718.3878045333059
lstm,0.001,64,128,max,1,0.8836530442035029,168.88442792390524
lstm,0.001,64,128,max,2,0.8703085904920768,406.45097431383635
lstm,0.001,64,128,max,3,0.8657214345287739,574.5511305959601
lstm,0.001,64,128,max,4,0.8590492076730609,789.9183976022821
lstm,0.001,128,64,avg,1,0.8849040867389492,137.9251480102539
lstm,0.001,128,64,avg,2,0.8794829024186822,223.69183992084703
lstm,0.001,128,64,avg,3,0.8678065054211843,330.2498867637233
lstm,0.001,128,64,avg,4,0.8694745621351125,404.4796291150545
lstm,0.001,128,64,max,1,0.8882402001668057,123.88103886654503
lstm,0.001,128,64,max,2,0.8732276897414513,240.8648792066072
lstm,0.001,128,64,max,3,0.8769808173477899,337.667841660349
lstm,0.001,128,64,max,4,0.8661384487072561,440.02281992059005
lstm,0.001,128,128,avg,1,0.8803169307756463,237.01441915411698
lstm,0.001,128,128,avg,2,0.8715596330275229,444.99698438142474
lstm,0.001,128,128,avg,3,0.8794829024186822,674.7295981959293
