model_type,max_length,hidden_size,kernel_size,num_layers,epoch,batch_size,pooling_style,optimizer,learning_rate,class_num,vocab_size,acc
fast_text,30,128,3,6,15,128,avg,adam,1.00E-05,2,4622,0.598442714
fast_text,30,128,3,6,15,128,max,adam,1.00E-05,2,4622,0.666295884
fast_text,30,256,3,6,15,64,avg,adam,1.00E-05,2,4622,0.497404524
fast_text,30,256,3,6,15,64,max,adam,1.00E-05,2,4622,0.66407119
fast_text,30,256,3,6,15,128,avg,adam,1.00E-05,2,4622,0.478865406
fast_text,30,256,3,6,15,128,max,adam,1.00E-05,2,4622,0.541620319
fast_text,30,512,3,6,15,64,avg,adam,1.00E-05,2,4622,0.582591769
fast_text,30,512,3,6,15,64,max,adam,1.00E-05,2,4622,0.662958843
fast_text,30,512,3,6,15,128,avg,adam,1.00E-05,2,4622,0.649054505
fast_text,30,512,3,6,15,128,max,adam,1.00E-05,2,4622,0.65925102
lstm,30,64,3,6,15,64,avg,adam,0.001,2,4622,0.666295884
lstm,30,64,3,6,15,64,max,adam,0.001,2,4622,0.666295884
lstm,30,64,3,6,15,128,avg,adam,0.001,2,4622,0.666295884
lstm,30,64,3,6,15,128,max,adam,0.001,2,4622,0.666295884
lstm,30,128,3,6,15,64,avg,adam,0.001,2,4622,0.666295884
lstm,30,128,3,6,15,64,max,adam,0.001,2,4622,0.666295884
lstm,30,128,3,6,15,128,avg,adam,0.001,2,4622,0.666295884
lstm,30,128,3,6,15,128,max,adam,0.001,2,4622,0.666295884
lstm,30,256,3,6,15,64,avg,adam,0.001,2,4622,0.666295884
lstm,30,256,3,6,15,64,max,adam,0.001,2,4622,0.666295884
lstm,30,256,3,6,15,128,avg,adam,0.001,2,4622,0.666295884
lstm,30,256,3,6,15,128,max,adam,0.001,2,4622,0.666295884
lstm,30,512,3,6,15,64,avg,adam,0.001,2,4622,0.823507601
lstm,30,512,3,6,15,64,max,adam,0.001,2,4622,0.637838339
lstm,30,512,3,6,15,128,avg,adam,0.001,2,4622,0.772154245
lstm,30,512,3,6,15,128,max,adam,0.001,2,4622,0.620782351
lstm,30,64,3,6,15,64,avg,adam,0.0001,2,4622,0.666295884
lstm,30,64,3,6,15,64,max,adam,0.0001,2,4622,0.666295884
lstm,30,64,3,6,15,128,avg,adam,0.0001,2,4622,0.666295884
lstm,30,64,3,6,15,128,max,adam,0.0001,2,4622,0.666295884
lstm,30,128,3,6,15,64,avg,adam,0.0001,2,4622,0.666295884
lstm,30,128,3,6,15,64,max,adam,0.0001,2,4622,0.666295884
lstm,30,128,3,6,15,128,avg,adam,0.0001,2,4622,0.666295884
lstm,30,128,3,6,15,128,max,adam,0.0001,2,4622,0.666295884
lstm,30,256,3,6,15,64,avg,adam,0.0001,2,4622,0.666295884
lstm,30,256,3,6,15,64,max,adam,0.0001,2,4622,0.666295884
lstm,30,256,3,6,15,128,avg,adam,0.0001,2,4622,0.666295884
lstm,30,256,3,6,15,128,max,adam,0.0001,2,4622,0.666295884
lstm,30,512,3,6,15,64,avg,adam,0.0001,2,4622,0.666295884
lstm,30,512,3,6,15,64,max,adam,0.0001,2,4622,0.666295884
lstm,30,512,3,6,15,128,avg,adam,0.0001,2,4622,0.666295884
lstm,30,512,3,6,15,128,max,adam,0.0001,2,4622,0.666295884
lstm,30,64,3,6,15,64,avg,adam,1.00E-05,2,4622,0.666295884
lstm,30,64,3,6,15,64,max,adam,1.00E-05,2,4622,0.666295884
lstm,30,64,3,6,15,128,avg,adam,1.00E-05,2,4622,0.333704116
lstm,30,64,3,6,15,128,max,adam,1.00E-05,2,4622,0.663793103
lstm,30,128,3,6,15,64,avg,adam,1.00E-05,2,4622,0.666295884
lstm,30,128,3,6,15,64,max,adam,1.00E-05,2,4622,0.666295884
lstm,30,128,3,6,15,128,avg,adam,1.00E-05,2,4622,0.666295884
lstm,30,128,3,6,15,128,max,adam,1.00E-05,2,4622,0.651279199
lstm,30,256,3,6,15,64,avg,adam,1.00E-05,2,4622,0.666295884
lstm,30,256,3,6,15,64,max,adam,1.00E-05,2,4622,0.666295884
lstm,30,256,3,6,15,128,avg,adam,1.00E-05,2,4622,0.666295884
lstm,30,256,3,6,15,128,max,adam,1.00E-05,2,4622,0.666295884
lstm,30,512,3,6,15,64,avg,adam,1.00E-05,2,4622,0.666295884
lstm,30,512,3,6,15,64,max,adam,1.00E-05,2,4622,0.661197627
lstm,30,512,3,6,15,128,avg,adam,1.00E-05,2,4622,0.666295884
lstm,30,512,3,6,15,128,max,adam,1.00E-05,2,4622,0.663793103
gru,30,64,3,6,15,64,avg,adam,0.001,2,4622,0.661661105
gru,30,64,3,6,15,64,max,adam,0.001,2,4622,0.666295884
gru,30,64,3,6,15,128,avg,adam,0.001,2,4622,0.666295884
gru,30,64,3,6,15,128,max,adam,0.001,2,4622,0.666295884
gru,30,128,3,6,15,64,avg,adam,0.001,2,4622,0.838895069
gru,30,128,3,6,15,64,max,adam,0.001,2,4622,0.666295884
gru,30,128,3,6,15,128,avg,adam,0.001,2,4622,0.666295884
gru,30,128,3,6,15,128,max,adam,0.001,2,4622,0.666295884
gru,30,256,3,6,15,64,avg,adam,0.001,2,4622,0.714312199
gru,30,256,3,6,15,64,max,adam,0.001,2,4622,0.705969596
gru,30,256,3,6,15,128,avg,adam,0.001,2,4622,0.81386726
gru,30,256,3,6,15,128,max,adam,0.001,2,4622,0.666295884
gru,30,512,3,6,15,64,avg,adam,0.001,2,4622,0.798016314
gru,30,512,3,6,15,64,max,adam,0.001,2,4622,0.780774935
gru,30,512,3,6,15,128,avg,adam,0.001,2,4622,0.77604746
gru,30,512,3,6,15,128,max,adam,0.001,2,4622,0.768446422
gru,30,64,3,6,15,64,avg,adam,0.0001,2,4622,0.666295884
gru,30,64,3,6,15,64,max,adam,0.0001,2,4622,0.666295884
gru,30,64,3,6,15,128,avg,adam,0.0001,2,4622,0.663793103
gru,30,64,3,6,15,128,max,adam,0.0001,2,4622,0.666295884
gru,30,128,3,6,15,64,avg,adam,0.0001,2,4622,0.666295884
gru,30,128,3,6,15,64,max,adam,0.0001,2,4622,0.661197627
gru,30,128,3,6,15,128,avg,adam,0.0001,2,4622,0.666295884
gru,30,128,3,6,15,128,max,adam,0.0001,2,4622,0.666295884
gru,30,256,3,6,15,64,avg,adam,0.0001,2,4622,0.666295884
gru,30,256,3,6,15,64,max,adam,0.0001,2,4622,0.666295884
gru,30,256,3,6,15,128,avg,adam,0.0001,2,4622,0.666295884
gru,30,256,3,6,15,128,max,adam,0.0001,2,4622,0.666295884
gru,30,512,3,6,15,64,avg,adam,0.0001,2,4622,0.666295884
gru,30,512,3,6,15,64,max,adam,0.0001,2,4622,0.666295884
gru,30,512,3,6,15,128,avg,adam,0.0001,2,4622,0.666295884
gru,30,512,3,6,15,128,max,adam,0.0001,2,4622,0.666295884
gru,30,64,3,6,15,64,avg,adam,1.00E-05,2,4622,0.666295884
gru,30,64,3,6,15,64,max,adam,1.00E-05,2,4622,0.655357805
