model,lr,hidden_size,batch_size,pooling_style,num_layers,acc,time
rnn,0.001,128,64,max,2,0.8769808173477899,52.886260183233965
rnn,0.001,128,64,max,3,0.8661384487072561,57.990300027947676
rnn,0.001,128,64,max,4,0.8640533778148457,84.9058753565738
rnn,0.001,128,128,avg,1,0.8757297748123436,52.82602812114515
rnn,0.001,128,128,avg,2,0.8690575479566305,73.8281952707391
rnn,0.001,128,128,avg,3,0.8707256046705588,67.12486869410465
rnn,0.001,128,128,avg,4,0.859883236030025,73.72529883133738
rnn,0.001,128,128,max,1,0.8861551292743953,50.109311154014186
rnn,0.001,128,128,max,2,0.8815679733110926,86.9700783177426
rnn,0.001,128,128,max,3,0.8765638031693077,71.24072627017372
rnn,0.001,128,128,max,4,0.8744787322768974,58.49035162674753
rnn,0.0001,64,64,avg,1,0.8331943286071727,61.884679292377676
rnn,0.0001,64,64,avg,2,0.8348623853211009,74.80194694117496
rnn,0.0001,64,64,avg,3,0.8365304420350292,63.165865446391855
rnn,0.0001,64,64,avg,4,0.8361134278565471,62.15007681595652
rnn,0.0001,64,64,max,1,0.8452877397831526,63.3038972553454
rnn,0.0001,64,64,max,2,0.841117597998332,67.163768567537
rnn,0.0001,64,64,max,3,0.8369474562135113,81.72361474288137
rnn,0.0001,64,64,max,4,0.8323603002502085,62.473196732370475
rnn,0.0001,64,128,avg,1,0.7985821517931609,57.96206624884354
rnn,0.0001,64,128,avg,2,0.8060884070058382,81.47892199064556
rnn,0.0001,64,128,avg,3,0.8144286905754796,74.33389362535979
rnn,0.0001,64,128,avg,4,0.8160967472894078,52.99417596114309
rnn,0.0001,64,128,max,1,0.8115095913261051,58.14401726973684
rnn,0.0001,64,128,max,2,0.8090075062552127,68.53404798005757
rnn,0.0001,64,128,max,3,0.8144286905754796,71.44024497584293
rnn,0.0001,64,128,max,4,0.8148457047539617,79.03073963366057
rnn,0.0001,128,64,avg,1,0.854045037531276,35.769061038368626
rnn,0.0001,128,64,avg,2,0.8573811509591326,54.137330306203744
rnn,0.0001,128,64,avg,3,0.8432026688907422,50.10680148476049
rnn,0.0001,128,64,avg,4,0.8511259382819016,59.28779903211092
rnn,0.0001,128,64,max,1,0.8703085904920768,51.35598935578999
rnn,0.0001,128,64,max,2,0.8703085904920768,72.4516416850843
