model_type,epoch,opt,lr,hidden_size,batch_size,pooling_style,time_value,acc,call_back,loss,precision
rnn,5,adam,0.001,128,128,last,3,0.6445556946182729,0.04924242424242424,0.6015365886688232,0.2826086956521739
rnn,5,adam,0.001,512,128,avg,6,0.8727576136837714,0.7133838383838383,0.2939851486682892,0.8786936236391913
rnn,5,adam,0.001,512,128,max,6,0.8823529411764706,0.7146464646464646,0.22005986193815866,0.909967845659164
rnn,5,adam,0.001,512,128,last,6,0.6554025865665415,0.08207070707070707,0.5964451531569163,0.39634146341463417
rnn,5,sgd,0.1,128,128,avg,3,0.8335419274092616,0.6868686868686869,0.42985970854759215,0.7827338129496403
rnn,5,sgd,0.1,128,128,max,3,0.8581560283687943,0.6401515151515151,0.34007233957449595,0.902135231316726
rnn,5,sgd,0.1,128,128,last,3,0.656654151022111,0.03535353535353535,0.6175585412979125,0.3218390804597701
rnn,5,sgd,0.1,512,128,avg,6,0.8652482269503546,0.7310606060606061,0.3610445922613144,0.8403483309143687
rnn,5,sgd,0.1,512,128,max,6,0.8886107634543179,0.8207070707070707,0.2932617608706156,0.8387096774193549
rnn,5,sgd,0.1,512,128,last,6,0.637880684188569,0.09343434343434344,0.6038587776819865,0.33035714285714285
rnn,5,sgd,0.001,128,128,avg,3,0.6691697955778055,0.0025252525252525255,0.6595398680369059,0.4
rnn,5,sgd,0.001,128,128,max,3,0.6700041718815186,0.0012626262626262627,0.6322608200709025,1.0
rnn,5,sgd,0.001,128,128,last,3,0.6057571964956195,0.09595959595959595,0.6701311039924621,0.24918032786885247
rnn,5,sgd,0.001,512,128,avg,6,0.6716729244889446,0.007575757575757576,0.6352277596791586,0.8571428571428571
rnn,5,sgd,0.001,512,128,max,6,0.6695869837296621,0.0,0.6133854770660401,0.0
rnn,5,sgd,0.001,512,128,last,6,0.6145181476846058,0.08964646464646464,0.6585583225886027,0.2591240875912409
rnn,15,adam,0.1,128,128,avg,9,0.7613683771380892,0.5997474747474747,0.5171358215808869,0.6506849315068494
rnn,15,adam,0.1,128,128,max,9,0.6695869837296621,0.0,0.7830521392822266,0.0
rnn,15,adam,0.1,128,128,last,9,0.609511889862328,0.32702020202020204,0.761654965877533,0.39123867069486407
rnn,15,adam,0.1,512,128,avg,19,0.7509386733416771,0.7613636363636364,0.6334582988421122,0.5964391691394659
rnn,15,adam,0.1,512,128,max,19,0.6695869837296621,0.0,3.507694424788157,0.0
rnn,15,adam,0.1,512,128,last,19,0.5940759282436379,0.3207070707070707,1.2507377298672995,0.3686502177068215
rnn,15,adam,0.001,128,128,avg,9,0.8765123070504798,0.7916666666666666,0.2534779973824819,0.8271767810026385
rnn,15,adam,0.001,128,128,max,9,0.8811013767209012,0.73989898989899,0.17130894879500072,0.881203007518797
rnn,15,adam,0.001,128,128,last,9,0.6537338339591156,0.07828282828282829,0.5713431517283122,0.38271604938271603
rnn,15,adam,0.001,512,128,avg,19,0.8848560700876095,0.773989898989899,0.26824243406454723,0.8633802816901408
rnn,15,adam,0.001,512,128,max,19,0.8656654151022111,0.7853535353535354,0.04549136603871981,0.8036175710594315
rnn,15,adam,0.001,512,128,last,19,0.6503963287442637,0.07702020202020202,0.5803080280621846,0.3630952380952381
rnn,15,sgd,0.1,128,128,avg,9,0.8573216520650814,0.6755050505050505,0.38512619813283283,0.8629032258064516
rnn,15,sgd,0.1,128,128,max,9,0.8723404255319149,0.6717171717171717,0.24933584690093993,0.9204152249134948
rnn,15,sgd,0.1,128,128,last,9,0.6528994576554026,0.04292929292929293,0.6053226816654206,0.3148148148148148
rnn,15,sgd,0.1,512,128,avg,18,0.8765123070504798,0.797979797979798,0.3206951598326365,0.8229166666666666
rnn,15,sgd,0.1,512,128,max,18,0.885273258239466,0.7714646464646465,0.16163160254557926,0.8666666666666667
rnn,15,sgd,0.1,512,128,last,18,0.6503963287442637,0.06439393939393939,0.5906443158785503,0.34459459459459457
rnn,15,sgd,0.001,128,128,avg,9,0.6695869837296621,0.0,0.628708681265513,0.0
rnn,15,sgd,0.001,128,128,max,9,0.6695869837296621,0.0,0.6184667793909708,0.0
rnn,15,sgd,0.001,128,128,last,9,0.6516478931998331,0.021464646464646464,0.6467185815175375,0.22077922077922077
rnn,15,sgd,0.001,512,128,avg,18,0.6708385481852316,0.003787878787878788,0.5967551962534586,1.0
rnn,15,sgd,0.001,512,128,max,18,0.7050479766374635,0.11868686868686869,0.5679922620455424,0.912621359223301
rnn,15,sgd,0.001,512,128,last,18,0.6583229036295369,0.027777777777777776,0.631406622727712,0.30985915492957744
bert_lstm,5,adam,0.1,128,128,avg,122,0.6695869837296621,0.0,1.5066373499234518,0.0
bert_lstm,5,adam,0.1,128,128,max,127,0.6695869837296621,0.0,1.304465456008911,0.0
bert_lstm,5,adam,0.1,128,128,last,131,0.6695869837296621,0.0,3.9021176966031392,0.0
bert_lstm,5,adam,0.1,512,128,avg,131,0.6695869837296621,0.0,1.4147353990872702,0.0
bert_lstm,5,adam,0.1,512,128,max,133,0.6695869837296621,0.0,0.9489145445823669,0.0
bert_lstm,5,adam,0.1,512,128,last,133,0.6695869837296621,0.0,1.5367875464757283,0.0
bert_lstm,5,adam,0.001,128,128,avg,133,0.6695869837296621,0.0,0.638866457939148,0.0
bert_lstm,5,adam,0.001,128,128,max,134,0.6695869837296621,0.0,0.6381560103098551,0.0
bert_lstm,5,adam,0.001,128,128,last,133,0.6695869837296621,0.0,0.6377753146489461,0.0
bert_lstm,5,adam,0.001,512,128,avg,133,0.6695869837296621,0.0,0.638134773572286,0.0
bert_lstm,5,adam,0.001,512,128,max,134,0.6695869837296621,0.0,0.6377365676561991,0.0
bert_lstm,5,adam,0.001,512,128,last,134,0.6695869837296621,0.0,0.6376995285352071,0.0
bert_lstm,5,sgd,0.1,128,128,avg,126,0.9052982895285774,0.8080808080808081,0.2360442445675532,0.8951048951048951
bert_lstm,5,sgd,0.1,128,128,max,126,0.901543596161869,0.797979797979798,0.23080214679241182,0.8926553672316384
bert_lstm,5,sgd,0.1,128,128,last,126,0.6695869837296621,0.0,0.6376772610346476,0.0
bert_lstm,5,sgd,0.1,512,128,avg,127,0.9090529828952858,0.8106060606060606,0.22445069273312887,0.9042253521126761
bert_lstm,5,sgd,0.1,512,128,max,127,0.9044639132248644,0.8484848484848485,0.2403928820292155,0.8604353393085787
bert_lstm,5,sgd,0.1,512,128,last,127,0.9061326658322904,0.8244949494949495,0.2357942004998525,0.8836265223274695
